kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_all,freq_all
great,79,great,99,great,98,great,85,great,113,great,121,great,596
democrats,50,thank,51,thank,84,news,76,people,67,people,58,thank,312
impeachment,44,president,38,news,60,fake,55,thank,61,complete,53,people,260
thank,34,trump,37,people,45,thank,51,news,45,big,50,news,249
president,33,democrats,28,fake,36,people,39,big,43,endorsement,47,fake,206
house,32,hoax,28,coronavirus,35,states,31,fake,39,military,37,big,173
@foxnews,31,fake,28,states,29,house,30,joe,36,joe,36,democrats,150
hoax,30,mini,28,working,27,white,28,job,35,police,35,president,148
iran,27,impeachment,27,federal,26,media,24,china,34,fake,34,job,134
people,26,bernie,26,mike,26,job,24,country,33,thank,31,country,133
american,25,news,26,mini,25,ventilators,23,state,29,law,31,complete,127
big,25,mike,26,job,24,big,23,complete,26,vets,29,trump,123
party,24,big,25,#kag2020,23,conference,23,media,24,left,29,states,122
senate,22,people,25,house,22,president,22,trump,24,strong,28,military,122
democrat,22,new,24,american,22,strong,21,endorsement,24,amendment,27,endorsement,121
military,20,@foxnews,23,united,22,coronavirus,21,military,24,country,27,house,117
trump,19,military,22,together,21,country,21,tom,23,news,27,@foxnews,114
do_nothing,18,democrat,21,bernie,21,good,21,states,23,job,26,strong,112
new,18,party,21,country,20,democrats,20,sleepy,23,trump,25,joe,112
republican,17,republican,21,work,20,china,19,vets,23,radical,25,new,110
usa,17,state,20,strong,19,testing,17,history,22,congressman,24,state,108
schiff,17,iowa,20,good,19,eastern,17,good,22,second,24,good,106
history,16,america,20,hard,19,@foxnews,17,new,21,biden,24,american,103
dems,16,strong,19,joe,19,work,15,bad,21,order,24,media,99
news,15,mueller,18,democrats,18,complete,15,transit,21,america,23,china,95
congress,15,country,18,virus,18,amendment,15,president,20,president,23,america,93
best,15,vets,18,government,17,endorsement,15,world,19,new,21,coronavirus,92
strong,15,crazy,18,white,17,lamestream,14,help,19,@foxnews,20,mike,89
job,14,endorsement,18,media,17,hard,14,amendment,19,anarchists,19,vets,88
fake,14,#maga,17,america,16,state,14,american,19,democrats,19,democrat,88
crime,14,vote,16,sleepy,16,second,13,vote,18,washington,19,history,87
left,14,complete,16,new,16,border,13,obama,18,incredible,19,republican,84
shifty,14,russia,16,conference,16,help,13,national,17,national,19,impeachment,84
election,14,congress,16,win,16,united,12,house,16,win,19,left,83
