kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
city,52,city,38,health,131,city,124,health,94,health,102,health,496,city,210,health,294,health,496
toronto,48,housing,37,toronto,123,health,98,city,86,public,76,city,467,toronto,208,city,257,city,467
public,44,toronto,37,city,120,covid19,90,covid19,64,covid19,74,toronto,393,health,202,covid19,228,toronto,393
health,44,health,27,covid19,98,toronto,72,public,53,toronto,65,public,331,public,142,public,189,public,331
park,37,public,25,public,73,food,66,people,51,city,47,covid19,330,covid19,102,toronto,185,covid19,330
rail,25,community,16,distancing,55,public,60,toronto,48,new,45,new,177,community,71,new,113,new,177
deck,23,work,16,care,48,care,59,physical,46,@topublichealth,34,community,158,housing,67,people,108,community,158
new,21,new,16,social,48,home,57,distancing,38,people,34,work,157,new,64,work,98,work,157
work,21,supportive,14,working,41,stay,49,safe,35,data,31,care,145,work,59,care,95,care,145
community,18,coronavirus,12,response,39,community,45,housing,33,childcare,29,housing,142,distancing,55,physical,94,housing,142
budget,16,supervised,11,medical,38,work,45,@topublichealth,33,safe,29,distancing,136,working,53,food,91,distancing,136
torontos,13,torontos,11,safe,37,support,41,new,32,staff,27,people,135,social,52,staff,90,people,135
step,13,crisis,10,community,37,staff,40,safely,31,work,27,safe,131,response,51,community,87,safe,131
next,12,staff,10,services,35,continue,40,streets,30,system,26,continue,129,care,50,safe,86,continue,129
residents,12,homelessness,10,continue,35,together,39,live,30,safely,24,staff,127,torontos,49,@topublichealth,83,staff,127
downtown,12,use,10,together,34,pandemic,39,music,29,care,22,working,121,medical,48,continue,83,working,121
housing,12,take,9,spread,34,working,37,important,26,continue,22,physical,112,residents,47,distancing,81,physical,112
people,11,building,9,officer,34,services,37,work,26,important,21,home,110,officer,46,support,78,home,110
future,11,affordable,9,emergency,34,new,36,community,25,recovery,21,support,109,continue,46,pandemic,78,support,109
provincial,11,response,9,workers,32,vulnerable,32,pandemic,24,learn,20,stay,105,park,46,housing,75,stay,105
affordable,10,consumption,9,stay,31,access,32,staff,23,physical,20,together,104,safe,45,home,73,together,104
plan,10,music,9,residents,30,residents,31,cycling,23,contact,19,important,101,together,43,stay,72,important,101
big,10,update,8,service,30,housing,29,move,22,province,18,response,100,services,40,working,68,response,100
ontario,10,airbnb,8,home,28,information,28,affordable,22,support,17,food,99,important,39,recovery,63,food,99
year,10,rental,8,torontonians,28,physical,28,venues,22,case,17,services,97,take,39,important,62,services,97
coronavirus,10,drugs,8,essential,27,take,28,continue,21,masks,17,residents,95,home,37,data,62,residents,95
build,10,sites,8,important,27,protect,28,working,21,community,17,pandemic,93,staff,37,together,61,pandemic,93
information,10,support,7,new,27,workers,27,support,20,access,16,take,92,emergency,37,access,60,take,92
continue,9,citys,7,critical,27,distancing,27,follow,20,child,16,torontos,90,critical,37,safely,60,torontos,90
million,9,next,7,vulnerable,27,shelter,26,along,20,without,16,social,87,torontonians,36,help,57,social,87
