;#covid19;arizona;health;@azdhs;thank;arizonans;public;arizonas;@drcarachrist;protect;state;working;spread;work;continue;help;care;1;information;latest;food;discuss;access;together;kids;grateful;resources;visit;ensure;@supt_hoffman;stay;safe;families;support;efforts;healthy;#aztogether;combat;partnership;important;businesses;services;2;officials;watch;order;home;safety;new;across;guidance;director;thanks;executive;emergency;testing;provide;updates;blood;schools;#thearizonaway;@katemcgeeaz;school;@aznationalguard;22;3;ways;covid19;professionals;banks;local;federal;students;@cdcgov;meals;call;providers;leaders;5;people;continued;team;prevent;million;4;mental;issued;@foundationjem;partners;please;taking;az;proud;webinar;donate;community;additional;@jeffweninger;needed;yesterday
schools;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;10;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0
#thearizonaway;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;10;0;14;0;0;0;0;4;0;0;0;0;14;0;0
@katemcgeeaz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;16;0;20;0;0;0;0;2;0;0;0;0;24;0;0
school;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;6;0;10;2;2;8;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4
@aznationalguard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;6;2;0;0;10;0;0;2;0;2;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;2;0;0;4;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;4;0;4;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;6;8;0;2;0;0;0;2;0;2;2;2;0;2;0;0;0;0;4;0;2;2;0;0;0;0;2;0;4;6
ways;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;2;4;2;0;0;0
covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;8;0;2;4;4;0;2;4;4;0;2;0;0;2;4;2;2;0;0;0;2;0;2;2
professionals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;4;0;0;2;4;2;0;4;0;0;0;4;0;2;0;0;0;0;2;0;0;2;0
