;#gapol;georgia;state;covid19;georgians;safe;together;great;icymi;proud;testing;help;working;fight;gt;efforts;stop;w;kemp;health;public;local;continue;ensure;@gafirstlady;work;families;support;spread;trafficking;part;protect;forward;ga;vulnerable;new;county;future;safer;georgias;honored;communities;healthcare;strong;stronger;lives;coronavirus;remain;@realdonaldtrump;@aug_university;capacity;home;service;best;#godawgs;family;stay;safety;history;commitment;officials;prosperous;data;hardworking;patients;guidance;resources;days;put;country;good;medical;dangerous;year;industry;throughout;workforce;ahead;human;access;business;gangs;thanks;opportunity;surge;battle;record;gang;leaders;partnership;among;follow;grace;appreciate;dismantle;teachers;life;another;live;survivors
stronger;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;2;2;2;0;0;2;0;2;2;0;12;0;2;2;0;0;4;2;2;2;2;0;2;0;0;2;4;0;0;0;0;2;0;0;0;2;2;0;0;2;0;2;0;4;4;0;2;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;0;2;0;0;2;0;0;0;2;0;6;0;0;2;2;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;2;0;0
coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
remain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;2;2;2;2;0;0;4;2;0;0;0;4;0;2;0;0;4;2;2;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0
@realdonaldtrump;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;0;0;0;0;0;2;2;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
@aug_university;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;2;6;0;0;0;2;0;0;0;4;0;0
capacity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;4;0;2;0;0;0;0;2;0;0;0;4;0;0;0;6;0;0;2;0;12;0;6;0;0;8;0;0;0;0;0;0;0;2;0;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;2;6;0;0;0;0;0;0;4;0;0;0;0;0;4;0;6;2
service;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;8;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;4;0;0;4;0;4;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;2;0;0;0;2;4;0;0;6;0;0;2;0;2;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;6;0;2;0;0
