;great;people;"thank_you
";big;job;joe;china;country;state;"fake_news
";endorsement;military;good;transit;sleepy;vets;media;history;bad;tom;states;american;world;help;trump;coronavirus;pennsylvania;vote;federal;president;"second_amendment
";crazy;republican;usa;congressman;election;mike;obamagate;obama;lamestream;testing;love;work;proud;border;political;ballots;incredible;win;national;united;left;lost;caught;governor;funding;important;news;coming;george;"white_house
";socalled;together;guy;corrupt;totally;republicans;wisconsin;congress;greatest;california;soon;night;tonight;john;administration;russia;michigan;stay;strongly;trying;businesses;funds;area;supports;farmers;democrat;moving;looking;fraud;hard;fake;ratings;beat;show;crime;cold;twitter;put;biden
great;0;32;16;12;36;4;8;6;20;10;6;20;12;8;2;16;4;4;8;12;4;10;8;12;10;8;4;8;6;0;4;2;8;10;8;4;10;2;2;6;14;10;2;4;4;4;8;8;6;10;2;4;4;0;8;2;4;12;2;4;2;2;4;8;2;4;6;12;8;2;6;4;6;2;2;2;0;4;0;2;0;4;4;8;6;10;14;2;2;4;0;2;2;10;4;2;0;0;0;2
people;0;0;4;16;8;6;14;8;12;12;10;14;6;14;2;14;10;2;4;8;4;6;0;14;2;6;8;2;8;4;8;4;4;8;6;6;0;0;4;10;4;8;10;6;6;6;4;12;6;4;4;0;4;4;6;10;4;2;8;0;0;2;6;2;6;8;6;8;10;2;4;2;2;0;0;2;0;6;4;10;2;4;6;2;12;4;2;10;2;2;6;2;0;4;2;0;6;2;6;2
"thank_you
";0;0;0;2;4;6;2;0;2;2;0;6;2;0;6;0;0;6;4;0;4;2;0;2;2;0;2;0;4;2;0;0;10;0;0;0;2;2;0;0;0;4;4;0;2;4;0;0;4;2;4;2;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;6;2;0;4;0;0;2;0;2;4;0;2;0;0;0;0;2;0;0;2;0;6;0;0;0;0;4;0;2;0;2
big;0;0;0;0;4;0;0;8;6;4;4;2;6;6;0;2;4;2;4;10;4;0;0;4;0;4;0;8;6;2;4;2;8;6;2;2;4;0;0;2;0;4;0;0;6;2;0;0;10;2;2;4;6;4;2;0;0;6;2;0;0;6;2;0;0;2;2;12;2;2;6;2;0;2;6;2;0;0;6;0;0;0;4;0;0;0;4;4;2;2;4;0;2;2;0;6;0;2;0;0
job;0;0;0;0;0;4;2;2;2;2;4;2;4;2;0;6;2;4;6;2;6;2;2;4;4;4;0;0;4;4;6;0;2;0;6;2;2;2;2;2;4;0;0;4;2;6;0;0;0;6;4;6;2;0;0;2;4;2;0;0;4;2;4;2;2;2;0;2;6;4;0;0;6;0;2;0;0;0;0;6;2;4;2;2;6;2;2;2;0;0;0;0;4;4;4;2;2;0;0;2
joe;0;0;0;0;0;0;8;0;6;2;0;2;0;0;32;0;2;4;8;0;2;2;0;0;8;2;2;2;2;2;0;8;4;2;0;2;0;2;2;2;0;0;0;0;0;0;0;0;8;0;2;2;0;0;0;0;0;0;4;0;2;2;0;0;4;0;0;0;2;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;14;0;0;12
china;0;0;0;0;0;0;0;8;0;8;0;0;4;0;6;0;2;0;6;0;10;2;12;2;2;6;0;0;0;4;0;4;0;6;0;0;0;0;0;2;2;0;0;0;2;4;0;0;2;0;12;4;6;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;2;0;0;4;0;0;0;0;2;0;0;0;6;0;2;0;0;0;2;2;2;0;0;0;2;0;2;0;0;2;2;6
country;0;0;0;0;0;0;0;0;0;8;4;2;4;0;0;4;4;4;2;0;4;0;8;0;0;0;2;4;0;0;4;2;2;4;4;0;2;0;0;2;4;4;0;0;0;4;2;2;4;0;4;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;4;0;4;0;4;0;0;0;0;0;2;2;2;0;0;4;2;0;0;0;0;0;4;0;0;0;2;0;0;2;0
state;0;0;0;0;0;0;0;0;0;0;0;2;4;8;2;0;0;0;2;4;2;2;0;4;4;0;6;6;2;2;0;4;2;0;2;8;0;0;0;0;0;6;0;0;0;0;4;2;2;2;2;0;0;0;4;2;2;2;4;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;6;0;0;2;2;6;2;0;0;6;0;2;4;2;0;2;0;0;2;2;0;0;2
"fake_news
";0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;14;4;4;0;2;0;0;2;0;2;0;0;0;2;0;2;4;4;0;4;0;2;0;12;2;2;2;2;0;2;2;0;4;2;2;2;0;0;0;0;0;4;2;0;0;0;0;2;4;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;4;0;0;0;0;0;0;2;0;4;0;0;2;0;6;0;0;0;0;2
